Feature,Coefficient,Odds_Ratio
rainfall,1.1922460907327266,3.2944725877688223
traffic_density,0.6043886769113008,1.8301330642435831
pedestrians,0.5943415207448046,1.8118374946681255
speed,0.40264561903856666,1.4957767229351158
vehicle_type_mixed,0.31933716951473895,1.3762152645214116
intersection,0.2991423964858126,1.348701660176729
time_of_day_evening,0.22908860235122208,1.2574534474062358
vehicle_type_cars+bus,0.2221555710952916,1.2487656345910616
vehicle_type_heavy vehicles,0.20324474760924452,1.2253723385000208
vehicle_type_cars+bikes,0.16288555469108415,1.1769019910688698
time_of_day_morning,0.1477560362320555,1.159230051731121
signal,0.10051647100451785,1.1057418542331643
time_of_day_night,0.06640269227404605,1.0686569704359452
time_of_day_mid night,0.015596053746327382,1.0157183069213818
time_of_day_early morning,-0.09340755729528823,0.9108222124033597
visibility,-0.2512717726759908,0.7778109550669722
road_condition,-0.8459959916955203,0.42912973563882695
