Metric,Q1 RAG,Q1 PageIndex,Q1 Winner,Q1 Difference,Q2 RAG,Q2 PageIndex,Q2 Winner,Q2 Difference,Q3 RAG,Q3 PageIndex,Q3 Winner,Q3 Difference,Average RAG,Average PageIndex,Average Winner,Average Difference
BLEU,0.0143,0.0067,RAG,0.0076,0.0467,0.0173,RAG,0.0294,0.0039,0.0098,PageIndex,0.0059,0.0216,0.0113,RAG,0.0104
ROUGE-1,0.4244,0.3077,RAG,0.1167,0.2596,0.3894,PageIndex,0.1298,0.5686,0.6,PageIndex,0.0314,0.4176,0.4324,PageIndex,-0.0148
ROUGE-2,0.1553,0.0793,RAG,0.076,0.0777,0.1662,PageIndex,0.0885,0.4,0.4082,PageIndex,0.0082,0.211,0.2179,PageIndex,-0.0069
ROUGE-L,0.2701,0.1746,RAG,0.0955,0.125,0.2065,PageIndex,0.0815,0.451,0.44,RAG,0.011,0.282,0.2737,RAG,0.0083
meteor,0.246,0.2305,RAG,0.0155,0.2103,0.2919,PageIndex,0.0816,0.0564,0.0587,PageIndex,0.0023,0.1709,0.1937,PageIndex,-0.0228
BERT precision,0.823,0.8227,RAG,0.0004,0.8186,0.8272,PageIndex,0.0087,0.8412,0.9033,PageIndex,0.0621,0.8276,0.8511,PageIndex,-0.0235
Bert Recall,0.852,0.8547,PageIndex,0.0028,0.8197,0.8805,PageIndex,0.0609,0.8316,0.8595,PageIndex,0.0279,0.8344,0.8649,PageIndex,-0.0305
BERT F1,0.8372,0.8384,PageIndex,0.0012,0.8191,0.853,PageIndex,0.0339,0.8364,0.8808,PageIndex,0.0444,0.8309,0.8574,PageIndex,-0.0265
retrieval_time (s),0.0042,11.4029,RAG,11.3987,0.0049,6.785,RAG,6.7801,0.0048,7.4368,RAG,7.432,0.0047,8.5416,RAG,-8.5369
generation_time (s),84.4013,76.0525,PageIndex,8.3488,65.34,66.361,RAG,1.021,43.9109,53.4427,RAG,9.5318,64.5508,65.2854,RAG,-0.7347
total_time (s),84.4774,87.4564,RAG,2.9791,65.4035,73.1464,RAG,7.7429,43.9714,60.8838,RAG,16.9124,64.6174,73.8289,RAG,-9.2114
query-context,0.6697,0.5982,RAG,0.0715,0.4384,0.1999,RAG,0.2384,0.203,0.454,PageIndex,0.251,0.437,0.4174,RAG,0.0197
query-answer,0.6267,0.8382,PageIndex,0.2114,0.5192,0.4621,RAG,0.0571,0.1645,0.1431,RAG,0.0214,0.4368,0.4811,PageIndex,-0.0443
context-answer,0.557,0.5969,PageIndex,0.0399,0.5184,0.2356,RAG,0.2829,0.5277,0.2123,RAG,0.3154,0.5344,0.3483,RAG,0.1861

overall summary
RAG Wins,22
PageIndex Wins,20
Ties,0
